ho usato 4 subList0)	4179470615
1)	3658069276
2)	4030832630
3)	11262813
4)	9831674351
5)	7514405173
6)	616724418
7)	2742665601
8)	6064906790
9)	2784756758
10)	2847868671
11)	5683908835
12)	1686059165
13)	7734824762
14)	2870878795
15)	6461101372
16)	5081383630
17)	2155351882
18)	8777351722
19)	4628885755
20)	8929774056
21)	2872203891
22)	9155536481
23)	26166404
24)	2358113881
25)	9794215464
26)	2432897157
27)	9596662994
28)	4352150438
29)	3045538805
30)	622803599
31)	9334480612
32)	8709191884
33)	2526288781
34)	1480894253
35)	7424360283
36)	9226435975
37)	1384530409
38)	254929700
39)	911874487
40)	5440730550
41)	9005139831
42)	8560666697
43)	2048866729
44)	3572356139
45)	4263394087
46)	2579145458
47)	5784497124
48)	2912358777
49)	7440067052
50)	6514927936
51)	6088773439
52)	7911083239
53)	8600121285
54)	3187874229
55)	4841169874
56)	4626028465
57)	1951911851
58)	5954056864
59)	8244682354
60)	6594935791
61)	6672139274
62)	7303722102
63)	8589863038
64)	7827173440
65)	348855629
66)	6854189262
67)	109520913
68)	3867306441
69)	9652861741
70)	1023625185
71)	2293075446
72)	3488958204
73)	2403450809
74)	4006047777
75)	5662039114
76)	2547571983
77)	6956298674
78)	4313706014
79)	9617095664
80)	2429341052
81)	6366665313
82)	3810584393
83)	8327910265
84)	507674993
85)	2055904747
86)	1393827469
87)	8659924257
88)	461841375
89)	2569134232
90)	8129465864
91)	6093792814
92)	1401885853
93)	8292269690
94)	9954244145
95)	3038397952
96)	5866567543
97)	6390089966
98)	235116526
99)	3475471540
100)	6300552434
101)	3874382333
102)	7138400365
103)	6610553087
104)	2388374331
105)	3711891756
106)	7208848194
107)	2778554011
108)	926549684
109)	4334684518
110)	9611596703
111)	1330473789
112)	4033634907
113)	7831643253
114)	4560739921
115)	425156332
116)	7389195577
117)	4573745395
118)	8523415830
119)	1965647391
120)	1356826899
121)	8833191722
122)	964312065
123)	587196584
124)	1303370295
125)	6648978613
126)	2657417747
127)	8845408332
128)	5333016146
129)	677558416
130)	1039828081
131)	4776553531
132)	6412545836
133)	2761325938
134)	5084084838
135)	6436543702
136)	3381931079
137)	7895170711
138)	1389085256
139)	7924172103
140)	8919416985
141)	8552292852
142)	2260777958
143)	3033790509
144)	6384086894
145)	6648824001
146)	4541556921
147)	9832122703
148)	7884488904
149)	4036958275
150)	7244268162
151)	7289764651
152)	5013214638
153)	5157630261
154)	3504029875
